car_park_no,car_park_type,car_park_type_encoded,cluster_label,kmeans,Sector,x_coord,y_coord
A23,MULTI-STOREY CAR PARK,4,4,1,North-East,29735.5099,38818.5301
A24,SURFACE CAR PARK,5,4,1,North-East,29789.41,38533.02
A25,SURFACE CAR PARK,5,4,1,North-East,30037.566,38313.6296
A26,SURFACE CAR PARK,5,4,1,North-East,28236.93,39419.47
A27,SURFACE CAR PARK,5,4,1,North-East,28556.67,39153.3
A28,SURFACE CAR PARK,5,4,1,North-East,28461.3669,39295.5961
A29,SURFACE CAR PARK,5,4,1,North-East,29713.5035,38806.4544
A30,SURFACE CAR PARK,5,4,1,North-East,29012.7631,39222.5981
A30A,SURFACE CAR PARK,5,4,1,North-East,29049.6606,39137.3556
A31,SURFACE CAR PARK,5,4,1,North-East,29155.32,39163.04
A31A,SURFACE CAR PARK,5,4,1,North-East,29150.6699,39318.7539
A33,SURFACE CAR PARK,5,4,1,North-East,28152.8391,39115.4784
A34,SURFACE CAR PARK,5,4,1,North-East,30042,38931.43
A35,SURFACE CAR PARK,5,4,1,North-East,30310.66,38963.49
A36,SURFACE CAR PARK,5,4,1,North-East,30443.9088,38715.8847
A37,SURFACE CAR PARK,5,4,1,North-East,30474.8188,38904.5192
A38,SURFACE CAR PARK,5,4,1,North-East,30367.0774,38445.7028
A39,SURFACE CAR PARK,5,4,1,North-East,30309.63,38134.69
A4,SURFACE CAR PARK,5,4,1,North-East,28876.2363,38636.7578
A40,SURFACE CAR PARK,5,4,1,North-East,30633.47,38267.95
A41,SURFACE CAR PARK,5,4,1,North-East,30627.96,38553.32
A42,SURFACE CAR PARK,5,4,1,North-East,30675.9559,38735.0223
A43,SURFACE CAR PARK,5,4,1,North-East,30887.78,38670.51
A44,SURFACE CAR PARK,5,4,1,North-East,30856.9781,38804.1956
A45,SURFACE CAR PARK,5,4,1,North-East,30438.53,39214.64
A47,SURFACE CAR PARK,5,4,1,North-East,30885.475,39174.8899
A48,SURFACE CAR PARK,5,4,1,North-East,30374.18,39154.22
A49,SURFACE CAR PARK,5,4,1,North-East,30724.16,39260.19
A50,SURFACE CAR PARK,5,4,1,North-East,30703.29,39392.09
A51,SURFACE CAR PARK,5,4,1,North-East,28117.6053,39054.6321
A52,SURFACE CAR PARK,5,4,1,North-East,29513.9566,39155.7785
A52L,SURFACE CAR PARK,5,4,1,North-East,29426.2389,39033.615
A53,MULTI-STOREY CAR PARK,4,4,1,North-East,29508.9218,39208.8091
A54,SURFACE CAR PARK,5,4,1,North-East,29401.8671,39382.3378
A55,SURFACE CAR PARK,5,4,1,North-East,29464.1325,39466.0892
A56,SURFACE CAR PARK,5,4,1,North-East,29538.847,39411.5653
A57,SURFACE CAR PARK,5,4,1,North-East,29518.5871,39336.4776
A58,SURFACE CAR PARK,5,4,1,North-East,29603.16,39372.68
A59,SURFACE CAR PARK,5,4,1,North-East,30762.295,39543.9937
A60,SURFACE CAR PARK,5,4,1,North-East,30514.5273,39606.8281
A61,SURFACE CAR PARK,5,4,1,North-East,30096.82,39574.31
A63,SURFACE CAR PARK,5,4,1,North-East,29789.5613,39690.0448
A64,SURFACE CAR PARK,5,4,1,North-East,30241.6957,39172.3075
A65,SURFACE CAR PARK,5,4,1,North-East,30904.46,39226.97
A66,SURFACE CAR PARK,5,3,1,North-East,28260.64,40279.16
A67,SURFACE CAR PARK,5,4,1,North-East,28499.27,40184.22
A68,SURFACE CAR PARK,5,3,1,North-East,28727.3335,40428.7342
A69,SURFACE CAR PARK,5,3,1,North-East,28960.06,40400.41
A7,SURFACE CAR PARK,5,4,1,North-East,28888.4313,38935.4059
A70,SURFACE CAR PARK,5,4,1,North-East,28755.4887,40287.5326
A71,SURFACE CAR PARK,5,4,1,North-East,28826.1219,40219.911
A72,SURFACE CAR PARK,5,4,1,North-East,29136.44,40303.05
A73,SURFACE CAR PARK,5,4,1,North-East,28835.3369,40091.5441
A74,SURFACE CAR PARK,5,4,1,North-East,29166.97,40069.8164
A75,SURFACE CAR PARK,5,4,1,North-East,28597.1669,39798.961
A76,MULTI-STOREY CAR PARK,4,4,1,North-East,28613.8871,39995.2242
A77,SURFACE CAR PARK,5,4,1,North-East,28741.1744,39815.655
A78,SURFACE CAR PARK,5,4,1,North-East,28564.0295,39632.2729
A8,SURFACE CAR PARK,5,4,1,North-East,29111.67,38975.61
A81,SURFACE CAR PARK,5,4,1,North-East,28351.6931,39594.7701
A82,SURFACE CAR PARK,5,4,1,North-East,28342.7741,39740.6593
A83,SURFACE CAR PARK,5,1,1,North-East,31046.8301,39589.4805
A85,SURFACE CAR PARK,5,4,1,North-East,29824.1,38572.16
A86,SURFACE CAR PARK,5,4,1,North-East,30582.1,38215.84
A87,SURFACE CAR PARK,5,4,1,North-East,30733.8638,38762.2439
A88,SURFACE CAR PARK,5,4,1,North-East,29552.24,38701.9
A89,SURFACE CAR PARK,5,4,1,North-East,28673.21,39163.93
A9,SURFACE CAR PARK,5,4,1,North-East,29232.3606,38900.2315
A90,SURFACE CAR PARK,5,3,1,North-East,28882.3578,40440.1317
A94,MULTI-STOREY CAR PARK,4,4,1,North-East,28556.1477,39318.8058
A95,MULTI-STOREY CAR PARK,4,4,1,North-East,29612.0323,38838.7824
A98,SURFACE CAR PARK,5,4,1,North-East,27837.0334,39020.7488
A99,SURFACE CAR PARK,5,4,1,North-East,28433.4999,39885.5496
BA1,MULTI-STOREY CAR PARK,4,4,3,East,32174.2918,35098.8104
BA10,MULTI-STOREY CAR PARK,4,4,3,East,32401.338,36121.0002
BA2,MULTI-STOREY CAR PARK,4,4,3,East,32444.5217,35453.6678
BA3,MULTI-STOREY CAR PARK,4,4,3,East,32229.3617,35383.6726
BA4,MULTI-STOREY CAR PARK,4,4,3,East,32410.3926,35271.7364
BA5,MULTI-STOREY CAR PARK,4,4,3,East,32375.4954,35170.051
BA6,MULTI-STOREY CAR PARK,4,4,3,East,32325.472,35823.9717
BA7,MULTI-STOREY CAR PARK,4,4,3,East,32320.0357,35997.2684
BA8,MULTI-STOREY CAR PARK,4,4,3,East,32246.0659,35990.7456
BA9,MULTI-STOREY CAR PARK,4,4,3,East,32740.6501,36141.8658
BBB,BASEMENT CAR PARK,0,4,2,South,30264.1776,30994.7597
BBM1,MULTI-STOREY CAR PARK,4,0,0,West,18213.6562,36507.8169
BBM2,MULTI-STOREY CAR PARK,4,0,0,West,18714.471,36997.6927
BBM3,MULTI-STOREY CAR PARK,4,0,0,West,19831.2917,36294.3127
BBM4,MULTI-STOREY CAR PARK,4,0,0,West,19860.3631,36409.798
BBM5,MULTI-STOREY CAR PARK,4,0,0,West,19610.472,36154.6192
BBM6,MULTI-STOREY CAR PARK,4,0,0,West,19289.8168,36112.2533
BBM7,MULTI-STOREY CAR PARK,4,0,0,West,18025.9428,36609.4062
BBM8,MULTI-STOREY CAR PARK,4,0,0,West,18561.8095,36898.4253
BBM9,MULTI-STOREY CAR PARK,4,2,0,West,18924.8161,38652.2819
BE10,SURFACE CAR PARK,5,4,3,East,30223.1994,36651.8815
BE11,SURFACE CAR PARK,5,4,3,East,30194.9243,36877.2792
BE12,SURFACE CAR PARK,5,4,3,East,29963.6285,36903.1662
BE13,MULTI-STOREY CAR PARK,4,4,3,East,30026.4687,36336.1338
BE14,MULTI-STOREY CAR PARK,4,4,3,East,30460.9446,36576.481
BE15,MULTI-STOREY CAR PARK,4,4,3,East,30394.9029,36366.7901
BE17,SURFACE CAR PARK,5,4,1,North-East,29598.0859,38339.9922
BE18,SURFACE CAR PARK,5,4,1,North-East,27751.5586,37825.0781
BE19,SURFACE CAR PARK,5,4,3,East,29656.3321,36775.0947
BE20,MULTI-STOREY CAR PARK,4,4,3,East,29707.8648,36779.0905
BE21,SURFACE CAR PARK,5,4,3,East,29749.6768,36749.5862
BE22,SURFACE CAR PARK,5,4,3,East,29818.0559,36839.3645
BE23,MULTI-STOREY CAR PARK,4,4,3,East,29830.0702,36912.2681
BE24,SURFACE CAR PARK,5,4,1,North-East,29576.3203,37491.2812
BE25,MULTI-STOREY CAR PARK,4,4,1,North-East,29668.2541,37471.6058
BE26,SURFACE CAR PARK,5,4,1,North-East,29684.6992,37553.5273
BE27,MULTI-STOREY CAR PARK,4,4,1,North-East,29704.1126,37637.6725
BE28,SURFACE CAR PARK,5,4,1,North-East,29639.4805,37778.0547
BE29,SURFACE CAR PARK,5,4,1,North-East,29400.2617,37725.7422
BE3,SURFACE CAR PARK,5,4,1,North-East,28121.0801,38268.7852
BE3R,MULTI-STOREY CAR PARK,4,4,1,North-East,28240.0745,38359.6695
BE30,MULTI-STOREY CAR PARK,4,4,1,North-East,29460.8559,37726.9889
BE31,SURFACE CAR PARK,5,4,1,North-East,29421.8945,37882.1133
BE32,MULTI-STOREY CAR PARK,4,4,1,North-East,29486.1335,37915.7452
BE33,SURFACE CAR PARK,5,4,1,North-East,29279.9809,38026.2842
BE34,MULTI-STOREY CAR PARK,4,4,1,North-East,29146.6066,38113.6749
BE35,SURFACE CAR PARK,5,4,1,North-East,29086.8281,38164.5
BE36,SURFACE CAR PARK,5,4,1,North-East,29248.3008,37730.4375
BE37,MULTI-STOREY CAR PARK,4,4,1,North-East,29235.553,37787.1371
BE38,SURFACE CAR PARK,5,4,1,North-East,29251.7617,37885.625
BE39,MULTI-STOREY CAR PARK,4,4,1,North-East,28962.9515,37918.5499
BE4,SURFACE CAR PARK,5,4,3,East,29675.9231,36514.1566
BE40,MULTI-STOREY CAR PARK,4,4,1,North-East,29037.3835,37710.0917
BE42,MULTI-STOREY CAR PARK,4,4,1,North-East,29249.7223,37516.6532
BE44,MULTI-STOREY CAR PARK,4,4,1,North-East,27812.0967,37767.5494
BE45,MULTI-STOREY CAR PARK,4,4,1,North-East,29152.4171,37599.2039
BE5,SURFACE CAR PARK,5,4,3,East,29963.414,36478.9779
BE6,SURFACE CAR PARK,5,4,3,East,30066.0547,36320.9492
BE7,SURFACE CAR PARK,5,4,3,East,30192.8737,36349.311
BE8,SURFACE CAR PARK,5,4,3,East,30447.9395,36286.4727
BE9,SURFACE CAR PARK,5,4,3,East,30544.5318,36588.7709
BH1,SURFACE CAR PARK,5,4,2,South,29017.3398,34136.332
BH2,SURFACE CAR PARK,5,4,2,South,29050.8796,34252.9453
BJAL,SURFACE CAR PARK,5,2,0,West,20505.161,41097.6794
BJBL,SURFACE CAR PARK,5,2,0,West,20272.3997,40658.5045
BJMP,MECHANISED CAR PARK,3,2,0,West,21344.6326,39972.0102
BJ1,SURFACE CAR PARK,5,2,0,West,20878.08,39550.76
BJ10,SURFACE CAR PARK,5,2,0,West,21026.3461,40101.7077
BJ11,SURFACE CAR PARK,5,2,0,West,21162.6537,40303.4372
BJ12,SURFACE CAR PARK,5,2,0,West,21452.9618,40246.9897
BJ13,SURFACE CAR PARK,5,2,0,West,21485.25,39887.66
BJ14,SURFACE CAR PARK,5,2,0,West,21346.1751,40106.9685
BJ15,MULTI-STOREY CAR PARK,4,2,0,West,21374.3071,39941.9395
BJ16,MULTI-STOREY CAR PARK,4,2,0,West,21356.3257,39943.2707
BJ17,MULTI-STOREY CAR PARK,4,2,0,West,20836.1138,40357.2456
BJ18,SURFACE CAR PARK,5,2,0,West,20743.2768,40326.2581
BJ19,SURFACE CAR PARK,5,2,0,West,20773.5976,40665.0357
BJ2,SURFACE CAR PARK,5,2,0,West,20581.8743,39791.6392
BJ20,SURFACE CAR PARK,5,2,0,West,20929.1589,40888.8561
BJ21,SURFACE CAR PARK,5,2,0,West,21028.24,40876.34
BJ22,SURFACE CAR PARK,5,2,0,West,21343.2842,40030.3147
BJ23,SURFACE CAR PARK,5,2,0,West,21281.85,39957.43
BJ24,SURFACE CAR PARK,5,2,0,West,21005.5592,40580.2986
BJ25,MULTI-STOREY CAR PARK,4,2,0,West,21145.4428,40760.7142
BJ26,MULTI-STOREY CAR PARK,4,2,0,West,21254.4996,40638.8302
BJ27,MULTI-STOREY CAR PARK,4,2,0,West,21059.217,40510.9727
BJ28,MULTI-STOREY CAR PARK,4,2,0,West,20457.7599,40100.1252
BJ29,MULTI-STOREY CAR PARK,4,2,0,West,20695.6095,40765.0345
BJ3,SURFACE CAR PARK,5,2,0,West,20884.1354,39921.5746
BJ30,MULTI-STOREY CAR PARK,4,2,0,West,20839.8705,40996.2639
BJ31,MULTI-STOREY CAR PARK,4,2,0,West,20672.7922,41096.8488
BJ32,MULTI-STOREY CAR PARK,4,2,0,West,20612.4337,40944.82
BJ33,MULTI-STOREY CAR PARK,4,2,0,West,21177.2481,40121.6311
BJ34,MULTI-STOREY CAR PARK,4,2,0,West,20565.9376,41081.058
BJ35,MULTI-STOREY CAR PARK,4,2,0,West,20498.7021,40997.6232
BJ36,MULTI-STOREY CAR PARK,4,2,0,West,20434.7146,40912.3617
BJ37,MULTI-STOREY CAR PARK,4,2,0,West,20361.9478,40819.6691
BJ38,MULTI-STOREY CAR PARK,4,2,0,West,20221.922,40787.0081
BJ39,MULTI-STOREY CAR PARK,4,2,0,West,20158.8662,40686.9514
BJ4,SURFACE CAR PARK,5,2,0,West,21204.7046,39724.8735
BJ40,MULTI-STOREY CAR PARK,4,2,0,West,20163.4889,40531.4817
BJ41,MULTI-STOREY CAR PARK,4,2,0,West,20447.5641,39722.7569
BJ42,MULTI-STOREY CAR PARK,4,2,0,West,20317.5802,39878.586
BJ43,MULTI-STOREY CAR PARK,4,2,0,West,20027.2654,40409.2626
BJ44,MULTI-STOREY CAR PARK,4,2,0,West,20395.5322,40290.7701
BJ45,MULTI-STOREY CAR PARK,4,2,0,West,20397.9729,40073.9347
BJ48,MULTI-STOREY CAR PARK,4,2,0,West,20352.8446,41013.5834
BJ49,MULTI-STOREY CAR PARK,4,2,0,West,20006.0358,40760.5616
BJ5,MULTI-STOREY CAR PARK,4,2,0,West,21295.8798,39665.1802
BJ50,MULTI-STOREY CAR PARK,4,2,0,West,21363.991,41123.9328
BJ51,MULTI-STOREY CAR PARK,4,2,0,West,20226.0907,40152.4974
BJ52,MULTI-STOREY CAR PARK,4,2,0,West,20134.1254,40120.981
BJ53,MULTI-STOREY CAR PARK,4,2,0,West,21168.4806,41302.9377
BJ54,MULTI-STOREY CAR PARK,4,2,0,West,21342.9805,41219.4493
BJ55,MULTI-STOREY CAR PARK,4,2,0,West,19927.0486,40913.764
BJ56,MULTI-STOREY CAR PARK,4,2,0,West,19723.7125,40870.4549
BJ57,SURFACE CAR PARK,5,2,0,West,19859.549,40799.6812
BJ58,MULTI-STOREY CAR PARK,4,2,0,West,21095.0855,41051.008
BJ59,MULTI-STOREY CAR PARK,4,2,0,West,21094.1509,41309.8258
BJ6,MULTI-STOREY CAR PARK,4,2,0,West,21443.7871,39574.4888
BJ60,MULTI-STOREY CAR PARK,4,2,0,West,20899.934,41139.0944
BJ61,MULTI-STOREY CAR PARK,4,2,0,West,20707.8422,41214.7175
BJ62,SURFACE CAR PARK,5,2,0,West,21108.8428,40690.9971
BJ63,MULTI-STOREY CAR PARK,4,2,0,West,20985.8418,40364.4597
BJ65,MULTI-STOREY CAR PARK,4,2,0,West,19702.7354,40739.1965
BJ66,MULTI-STOREY CAR PARK,4,2,0,West,19584.9139,40909.9744
BJ67,MULTI-STOREY CAR PARK,4,2,0,West,19616.1105,41031.7585
BJ68,MULTI-STOREY CAR PARK,4,2,0,West,20950.1385,40814.0823
BJ69,MULTI-STOREY CAR PARK,4,2,0,West,20182.5515,41087.2501
BJ70,MULTI-STOREY CAR PARK,4,2,0,West,20260.173,41274.7776
BJ71,MULTI-STOREY CAR PARK,4,2,0,West,20053.9274,40993.2371
BJ72,MULTI-STOREY CAR PARK,4,2,0,West,19937.6398,41200.6949
BJ8,SURFACE CAR PARK,5,2,0,West,21353.5943,39632.9105
BKE1,SURFACE CAR PARK,5,4,2,South,30034.1445,32237.498
BKE2,SURFACE CAR PARK,5,4,2,South,30466.3496,32935.1367
BKE3,SURFACE CAR PARK,5,4,2,South,30502.0605,32966.8867
BKE4,SURFACE CAR PARK,5,4,2,South,30617.8164,32970.7734
BKE7,MULTI-STOREY CAR PARK,4,4,2,South,30448.766,32767.6002
BKE9,SURFACE CAR PARK,5,4,2,South,30019.3942,32184.232
BKRM,MULTI-STOREY CAR PARK,4,4,3,East,31121.6383,33283.2558
BLM,MULTI-STOREY CAR PARK,4,4,3,East,31076.0824,33087.5529
BL10,SURFACE CAR PARK,5,0,0,West,14434.5806,36212.2117
BL13,SURFACE CAR PARK,5,0,0,West,14836.3467,36315.1094
BL15,MULTI-STOREY CAR PARK,4,0,0,West,14004.6897,36456.5691
BL17,MULTI-STOREY CAR PARK,4,0,0,West,14024.5648,36666.6301
BL18,MULTI-STOREY CAR PARK,4,0,0,West,14768.3178,36520.4472
BL19,MULTI-STOREY CAR PARK,4,0,0,West,14648.3419,36766.7841
BL20,MULTI-STOREY CAR PARK,4,0,0,West,14072.9303,36691.7296
BL21,MULTI-STOREY CAR PARK,4,0,0,West,14206.3144,36819.8339
BL22,MULTI-STOREY CAR PARK,4,0,0,West,14693.2928,36077.4814
BL23,MULTI-STOREY CAR PARK,4,0,0,West,14451.8262,36853.4082
BL24,MULTI-STOREY CAR PARK,4,0,0,West,14295.5416,35924.1943
BL3,SURFACE CAR PARK,5,0,0,West,14190.8096,36556.4297
BL8,SURFACE CAR PARK,5,0,0,West,14653.3598,36396.1197
BL8L,SURFACE CAR PARK,5,0,0,West,14505.671,36484.5266
BL9,SURFACE CAR PARK,5,0,0,West,14356.1152,36445.4219
BMVM,MULTI-STOREY CAR PARK,4,4,2,South,26866.0055,29672.9702
BM1,SURFACE CAR PARK,5,4,2,South,25357.1463,29858.3486
BM10,SURFACE CAR PARK,5,4,2,South,25857.7754,30056.6386
BM12,SURFACE CAR PARK,5,4,2,South,25769.3044,30009.7592
BM13,SURFACE CAR PARK,5,4,2,South,25648.7676,29924.1943
BM14,SURFACE CAR PARK,5,4,2,South,25276.6255,30161.1078
BM19,SURFACE CAR PARK,5,4,2,South,26373.3689,29793.0744
BM2,SURFACE CAR PARK,5,4,2,South,25399.6152,29918.9512
BM20,SURFACE CAR PARK,5,4,2,South,26379.7745,29741.6402
BM26,SURFACE CAR PARK,5,4,2,South,25118.4593,29967.6925
BM27,SURFACE CAR PARK,5,4,2,South,25937.1387,29610.3105
BM28,SURFACE CAR PARK,5,4,2,South,26052.9053,29603.6488
BM29,BASEMENT CAR PARK,0,4,2,South,26194.9184,29563.3295
BM3,SURFACE CAR PARK,5,4,2,South,25574.8666,30013.7121
BM30,SURFACE CAR PARK,5,4,2,South,26154.2109,29519.0586
BM31,MULTI-STOREY CAR PARK,4,4,2,South,26136.5799,29432.235
BM33,MULTI-STOREY CAR PARK,4,4,2,South,26367.6248,29465.267
BM36,SURFACE CAR PARK,5,4,2,South,26279.3643,29471.6752
BM4,MULTI-STOREY CAR PARK,4,4,2,South,25288.5551,30009.2384
BM5,SURFACE CAR PARK,5,4,2,South,25139.9101,30093.7491
BM6,SURFACE CAR PARK,5,4,2,South,25823.7973,30215.5782
BM9,SURFACE CAR PARK,5,4,2,South,25889.8506,30167.4343
BP1,SURFACE CAR PARK,5,4,2,South,27059.7441,28364.7207
BP2,SURFACE CAR PARK,5,4,2,South,27297.2734,28508.1074
BRBL,SURFACE CAR PARK,5,4,2,South,29935.2249,32102.3708
BRB1,BASEMENT CAR PARK,0,4,2,South,29921.7021,32043.75
BRM,MULTI-STOREY CAR PARK,4,4,3,East,31656.358,33667.0566
BRM1,MULTI-STOREY CAR PARK,4,4,3,East,30605.3384,34301.5549
BRM2,MULTI-STOREY CAR PARK,4,4,3,East,30711.6128,34245.0049
BRM3,MULTI-STOREY CAR PARK,4,4,3,East,30374.6768,33753.3566
BRM4,MULTI-STOREY CAR PARK,4,4,3,East,30532.4552,33886.3275
BRM5,MULTI-STOREY CAR PARK,4,4,3,East,30906.005,34415.6669
BRM6,MULTI-STOREY CAR PARK,4,4,3,East,31102.1822,34445.0449
BRM7,MULTI-STOREY CAR PARK,4,4,3,East,30457.6666,34068.0647
BR10,SURFACE CAR PARK,5,4,3,East,30357.7598,33918.1953
BR11,SURFACE CAR PARK,5,4,3,East,30854.1176,34276.8274
BR12,SURFACE CAR PARK,5,4,3,East,30715.4375,34382.2305
BR14,SURFACE CAR PARK,5,4,3,East,30967.5336,34242.9719
BR18,SURFACE CAR PARK,5,4,3,East,30496.3613,34277.707
BR21,SURFACE CAR PARK,5,4,3,East,30595.5166,34387.1259
BR22,SURFACE CAR PARK,5,4,3,East,30701.4824,34507.3281
BR4,SURFACE CAR PARK,5,4,3,East,30459.8203,33979.9766
BR5,SURFACE CAR PARK,5,4,3,East,30768.0099,34127.2333
BR6,SURFACE CAR PARK,5,4,3,East,30249.9707,33920.4375
BR8,SURFACE CAR PARK,5,4,3,East,30363.7715,34154.9883
BR9,SURFACE CAR PARK,5,4,2,South,29939.1769,33469.7037
BTM,MULTI-STOREY CAR PARK,4,4,2,South,27996.7913,29911.548
BTM2,MULTI-STOREY CAR PARK,4,4,2,South,27590.7177,29931.3587
BTM3,MULTI-STOREY CAR PARK,4,4,2,South,27485.7966,29859.2793
BVM2,MULTI-STOREY CAR PARK,4,4,2,South,26893.4354,29547.635
BWM,MULTI-STOREY CAR PARK,4,4,2,South,25037.7298,29927.4975
B10,SURFACE CAR PARK,5,1,3,East,39172.2903,34582.9441
B10M,MULTI-STOREY CAR PARK,4,1,3,East,39040.5507,34603.0432
B11,SURFACE CAR PARK,5,1,3,East,38803.7496,34507.0389
B12,SURFACE CAR PARK,5,1,3,East,38523.5625,34424.8004
B13,SURFACE CAR PARK,5,1,3,East,38733.3633,34652.0234
B14,SURFACE CAR PARK,5,1,3,East,38920.4797,34597.393
B16,SURFACE CAR PARK,5,1,3,East,39934.8473,33971.8042
B17,SURFACE CAR PARK,5,1,3,East,40079.2617,34051.0508
B19,SURFACE CAR PARK,5,1,3,East,39979.5352,33797.4766
B20,SURFACE CAR PARK,5,1,3,East,40253.2539,33562.5352
B21,SURFACE CAR PARK,5,1,3,East,39989.0226,34488.949
B23L,SURFACE CAR PARK,5,1,3,East,39851.2917,34739.452
B23M,MULTI-STOREY CAR PARK,4,1,3,East,39944.1477,34766.4678
B24,SURFACE CAR PARK,5,1,3,East,39682.7466,34983.1176
B24A,SURFACE CAR PARK,5,1,3,East,39829.8122,34830.0817
B25,SURFACE CAR PARK,5,1,3,East,39927.1063,35018.7287
B26,SURFACE CAR PARK,5,1,3,East,39910.4336,35166.7734
B27,SURFACE CAR PARK,5,1,3,East,39654.1953,35145.7266
B28,SURFACE CAR PARK,5,1,3,East,39379.6445,34971.7852
B30,SURFACE CAR PARK,5,1,3,East,39733.8204,34684.0888
B31,SURFACE CAR PARK,5,1,3,East,39744.5963,34524.6842
B32,SURFACE CAR PARK,5,1,3,East,39511.7026,34404.0851
B33,SURFACE CAR PARK,5,1,3,East,39405.1638,34385.3038
B34,SURFACE CAR PARK,5,1,3,East,39391.0547,34503.7773
B35,SURFACE CAR PARK,5,1,3,East,39335.7148,34586.2422
B40,SURFACE CAR PARK,5,1,3,East,39067.9293,34972.3428
B41,SURFACE CAR PARK,5,1,3,East,38925.7812,34972.8867
B42,SURFACE CAR PARK,5,1,3,East,38851.0273,34961.4805
B43,SURFACE CAR PARK,5,1,3,East,38492.9294,34812.5657
B44,SURFACE CAR PARK,5,1,3,East,38482.3867,35129.4805
B44A,SURFACE CAR PARK,5,1,3,East,38743.3984,35178.6016
B44B,SURFACE CAR PARK,5,1,3,East,37970.7092,34944.8181
B45,SURFACE CAR PARK,5,1,3,East,38250.9386,34876.1148
B46,SURFACE CAR PARK,5,1,3,East,38112.1565,34836.4398
B47,SURFACE CAR PARK,5,1,3,East,37896.9112,34789.4034
B48,SURFACE CAR PARK,5,1,3,East,38027.5007,34700.9495
B48B,BASEMENT CAR PARK,0,1,3,East,38287.6513,34686.6961
B49,SURFACE CAR PARK,5,1,3,East,38388.8477,34932.0469
B50,SURFACE CAR PARK,5,1,3,East,36875.1304,34739.7397
B50A,SURFACE CAR PARK,5,1,3,East,36838.2461,34857.5547
B50B,SURFACE CAR PARK,5,1,3,East,36751.1433,34871.319
B51,SURFACE CAR PARK,5,1,3,East,37245.6836,34927.6641
B52,SURFACE CAR PARK,5,1,3,East,37412.3828,35122.5781
B53,SURFACE CAR PARK,5,1,3,East,37110.0129,35160.4187
